Path;File;Number of lines;Changed Lines;Lines added;Lines removed;Number of contributers;Number of contributions;Number of fixes;Number of non fixes
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\jpa\boot\internal\PersistenceXmlParser.java;PersistenceXmlParser.java;536;260;87;173;4;8;0;8
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\internal\AbstractSaveEventListener.java;AbstractSaveEventListener.java;536;158;88;70;5;7;1;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\spi\SharedSessionContractImplementor.java;SharedSessionContractImplementor.java;534;122;116;6;6;10;0;10
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\jdbc\connections\internal\ConnectionProviderInitiator.java;ConnectionProviderInitiator.java;533;128;114;14;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\plan\exec\process\internal\EntityReferenceInitializerImpl.java;EntityReferenceInitializerImpl.java;532;70;52;18;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\service\internal\EventListenerRegistryImpl.java;EventListenerRegistryImpl.java;528;175;136;39;3;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\type\AnyType.java;AnyType.java;523;16;9;7;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\HqlParser.java;HqlParser.java;522;8;2;6;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\collection\internal\PersistentIdentifierBag.java;PersistentIdentifierBag.java;522;41;36;5;4;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\tree\SelectClause.java;SelectClause.java;521;5;3;2;2;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\collection\internal\PersistentSet.java;PersistentSet.java;516;32;30;2;3;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\AbstractPropertyHolder.java;AbstractPropertyHolder.java;513;4;2;2;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\bytecode\enhance\internal\bytebuddy\CodeTemplates.java;CodeTemplates.java;513;83;42;41;2;3;2;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\jdbc\internal\JdbcCoordinatorImpl.java;JdbcCoordinatorImpl.java;510;72;23;49;2;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\mapping\Component.java;Component.java;509;125;102;23;3;5;1;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\spi\CascadingActions.java;CascadingActions.java;502;27;13;14;3;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\annotations\PropertyBinder.java;PropertyBinder.java;501;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tool\schema\spi\SchemaManagementToolCoordinator.java;SchemaManagementToolCoordinator.java;499;3;2;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\strategy\internal\ValidityAuditStrategy.java;ValidityAuditStrategy.java;498;498;498;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\CollectionPropertyHolder.java;CollectionPropertyHolder.java;498;4;2;2;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\internal\NaturalIdXrefDelegate.java;NaturalIdXrefDelegate.java;496;57;30;27;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-jipijapa\src\main\java\org\jboss\as\jpa\hibernate5\management\HibernateStatistics.java;HibernateStatistics.java;495;1395;945;450;1;2;0;2
